period,ticker,asset,strategy_return,benchmark_return,excess_return,sharpe,max_drawdown,ann_vol,cash_pct
short_3y,CPER,Copper,-2.64,54.67,-57.31,0.068,-38.34,21.2,49.3
short_3y,LIT,Lithium,61.18,16.06,45.120000000000005,0.935,-23.51,19.1,63.6
short_3y,JJN,Nickel,-0.0,-31.17,31.17,0.819,-0.0,0.0,100.0
short_3y,JJU,Aluminum,2.86,-4.94,7.800000000000001,0.421,-15.06,14.96,61.3
short_3y,SLV,Silver,46.39,212.83,-166.44,0.659,-38.53,23.67,44.9
short_3y,PPLT,Platinum,7.77,97.5,-89.73,0.225,-44.77,22.62,55.0
short_3y,PALL,Palladium,38.44,-7.08,45.519999999999996,0.577,-22.08,23.87,73.3
short_3y,GLD,Gold (Benchmark),76.94,133.19,-56.25,1.319,-13.47,15.45,17.7
long_5y,CPER,Copper,-14.41,59.94,-74.35,-0.059,-43.38,19.59,47.3
long_5y,LIT,Lithium,54.35,2.65,51.7,0.569,-33.2,18.26,65.9
long_5y,JJN,Nickel,32.28,23.75,8.530000000000001,0.421,-55.74,51.39,68.8
long_5y,JJU,Aluminum,8.25,5.51,2.74,0.264,-36.78,18.03,54.1
long_5y,SLV,Silver,-7.22,172.11,-179.33,0.031,-59.82,20.7,52.4
long_5y,PPLT,Platinum,-5.46,98.41,-103.86999999999999,0.053,-55.0,21.2,57.3
long_5y,PALL,Palladium,20.8,-34.28,55.08,0.279,-51.96,24.18,69.3
long_5y,GLD,Gold (Benchmark),81.19,118.77,-37.58,0.97,-13.47,13.23,34.8
