Smart Mining Grid Search - jjn_tam_donem
Donem,2021-01-04,2023-07-21
Varliklar,JJN
Toplam kombinasyon,405
Z-Score threshold (sabit),1.645

BENCHMARK (1/N Equal-Weight)
Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio
0.419,23.75,32.27,66.71,-61.33,0.526

Best Sharpe Ratio (yuksek iyi)
Rank,Criteria (sort),lookback,est_window,rebal_freq,risk_aversion,stop_loss_pct,cooldown_days,Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio,Avg Cash (%)
1,Best Sharpe Ratio,20.0,60.0,1.0,1.0,5%,10.0,0.714,90.93,40.17,47.33,-15.97,2.515,86.09
2,Best Sharpe Ratio,30.0,60.0,1.0,1.0,5%,10.0,0.712,90.42,40.02,47.33,-15.97,2.505,86.12
3,Best Sharpe Ratio,10.0,60.0,1.0,1.0,5%,10.0,0.712,90.47,40.04,47.33,-15.97,2.506,86.05

Best Total Return (yuksek iyi)
Rank,Criteria (sort),lookback,est_window,rebal_freq,risk_aversion,stop_loss_pct,cooldown_days,Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio,Avg Cash (%)
1,Best Total Return,20.0,60.0,1.0,1.0,5%,10.0,0.714,90.93,40.17,47.33,-15.97,2.515,86.09
2,Best Total Return,10.0,60.0,1.0,1.0,5%,10.0,0.712,90.47,40.04,47.33,-15.97,2.506,86.05
3,Best Total Return,30.0,60.0,1.0,1.0,5%,10.0,0.712,90.42,40.02,47.33,-15.97,2.505,86.12

Min Max Drawdown (dusuk iyi)
Rank,Criteria (sort),lookback,est_window,rebal_freq,risk_aversion,stop_loss_pct,cooldown_days,Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio,Avg Cash (%)
1,Min Max Drawdown,10.0,60.0,5.0,0.5,20%,10.0,0.337,17.02,19.9,53.94,-60.37,0.33,58.23
2,Min Max Drawdown,10.0,60.0,5.0,0.5,20%,1.0,0.342,17.87,20.3,54.02,-60.08,0.338,56.62
3,Min Max Drawdown,30.0,60.0,5.0,0.5,20%,10.0,0.349,19.09,20.71,53.91,-59.67,0.347,58.32

Best Calmar Ratio (yuksek iyi)
Rank,Criteria (sort),lookback,est_window,rebal_freq,risk_aversion,stop_loss_pct,cooldown_days,Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio,Avg Cash (%)
1,Best Calmar Ratio,20.0,60.0,1.0,3.5,5%,10.0,0.7,86.94,38.55,46.62,-14.13,2.729,87.37
2,Best Calmar Ratio,10.0,60.0,1.0,3.5,5%,10.0,0.699,86.78,38.51,46.62,-14.13,2.726,87.36
3,Best Calmar Ratio,30.0,60.0,1.0,3.5,5%,10.0,0.696,86.17,38.32,46.61,-14.1,2.718,87.38

Min Volatility (dusuk iyi)
Rank,Criteria (sort),lookback,est_window,rebal_freq,risk_aversion,stop_loss_pct,cooldown_days,Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio,Avg Cash (%)
1,Min Volatility,20.0,60.0,21.0,3.5,5%,10.0,0.707,88.02,38.52,46.1,-15.05,2.559,88.26
2,Min Volatility,30.0,60.0,21.0,3.5,5%,10.0,0.707,88.02,38.52,46.1,-15.05,2.559,88.26
3,Min Volatility,10.0,60.0,21.0,3.5,5%,10.0,0.707,88.02,38.52,46.1,-15.05,2.559,88.26

