Smart Mining Grid Search - pplt_5y
Donem,2021-01-04,2025-12-31
Varliklar,PPLT
Toplam kombinasyon,405
Z-Score threshold (sabit),1.645

BENCHMARK (1/N Equal-Weight)
Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio
0.62,98.41,19.73,29.07,-35.73,0.552

Best Sharpe Ratio (yuksek iyi)
Rank,Criteria (sort),lookback,est_window,rebal_freq,risk_aversion,stop_loss_pct,cooldown_days,Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio,Avg Cash (%)
1,Best Sharpe Ratio,10.0,30.0,5.0,0.5,5%,5.0,0.716,76.39,13.98,18.28,-19.14,0.731,68.61
2,Best Sharpe Ratio,20.0,30.0,5.0,0.5,5%,5.0,0.716,76.39,13.98,18.28,-19.14,0.731,68.61
3,Best Sharpe Ratio,10.0,30.0,5.0,1.0,5%,5.0,0.706,73.89,13.61,18.07,-19.14,0.711,69.36

Best Total Return (yuksek iyi)
Rank,Criteria (sort),lookback,est_window,rebal_freq,risk_aversion,stop_loss_pct,cooldown_days,Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio,Avg Cash (%)
1,Best Total Return,10.0,30.0,5.0,0.5,5%,5.0,0.716,76.39,13.98,18.28,-19.14,0.731,68.61
2,Best Total Return,20.0,30.0,5.0,0.5,5%,5.0,0.716,76.39,13.98,18.28,-19.14,0.731,68.61
3,Best Total Return,10.0,30.0,5.0,1.0,5%,5.0,0.706,73.89,13.61,18.07,-19.14,0.711,69.36

Min Max Drawdown (dusuk iyi)
Rank,Criteria (sort),lookback,est_window,rebal_freq,risk_aversion,stop_loss_pct,cooldown_days,Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio,Avg Cash (%)
1,Min Max Drawdown,30.0,60.0,1.0,0.5,10%,5.0,-0.097,-20.01,-2.09,21.77,-65.91,-0.032,55.27
2,Min Max Drawdown,20.0,60.0,1.0,0.5,10%,5.0,-0.108,-20.86,-2.31,21.72,-65.83,-0.035,55.16
3,Min Max Drawdown,10.0,60.0,1.0,0.5,10%,5.0,-0.093,-19.65,-2.01,21.73,-65.3,-0.031,55.05

Best Calmar Ratio (yuksek iyi)
Rank,Criteria (sort),lookback,est_window,rebal_freq,risk_aversion,stop_loss_pct,cooldown_days,Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio,Avg Cash (%)
1,Best Calmar Ratio,10.0,30.0,5.0,0.5,5%,5.0,0.716,76.39,13.98,18.28,-19.14,0.731,68.61
2,Best Calmar Ratio,20.0,30.0,5.0,0.5,5%,5.0,0.716,76.39,13.98,18.28,-19.14,0.731,68.61
3,Best Calmar Ratio,20.0,30.0,1.0,1.0,5%,5.0,0.661,69.65,13.19,18.76,-18.14,0.727,66.41

Min Volatility (dusuk iyi)
Rank,Criteria (sort),lookback,est_window,rebal_freq,risk_aversion,stop_loss_pct,cooldown_days,Sharpe Ratio,Total Return (%),Ann. Return (%),Ann. Volatility (%),Max Drawdown (%),Calmar Ratio,Avg Cash (%)
1,Min Volatility,10.0,60.0,21.0,3.5,5%,10.0,0.498,36.46,7.63,14.77,-30.35,0.251,84.82
2,Min Volatility,20.0,60.0,21.0,3.5,5%,10.0,0.485,35.35,7.46,14.82,-30.93,0.241,84.74
3,Min Volatility,30.0,60.0,21.0,3.5,5%,10.0,0.482,35.03,7.41,14.83,-31.09,0.238,84.72

